layerID layerLabel
219 Pineapples_canned
220 Pistachios
221 Plums_and_sloes
222 Pumpkins,_squash_and_gourds
223 Quinces
224 Juice,_tomato
225 Meat,_nes
226 Grain,_mixed
227 Hides,_cattle,_wet_salted
228 Hides,_nes
229 Juice,_citrus,_concentrated
230 Juice,_grape
231 Juice,_grapefruit,_concentrated
232 Juice,_lemon,_concentrated
233 Juice,_pineapple,_concentrated
234 Maple_sugar_and_syrups
235 Meat,_duck
236 Meat,_goose_and_guinea_fowl
237 Meat,_horse
238 Meat,_rabbit
239 Oats
240 Offals,_liver_duck
241 Offals,_sheep,edible
242 Oil,_linseed
243 Oil,_rapeseed
244 Oil,_soybean
245 Peas,_dry
246 Peas,_green
247 Onions,_shallots,_green
248 Juice,_grapefruit
249 Hair,_fine
250 Ginger
251 Mangoes,_mangosteens,_guavas
252 Mat̩
253 Meal,_meat
254 Oil,_castor_beans
255 Papayas
256 Mustard_seed
257 Poppy_seed
258 Oil,_safflower
259 Millet
260 Meat,_goat
261 Peanut_butter
262 Germ,_maize
263 Pigeons,_other_birds
264 Maize,_green
265 Meat,_game
266 Offals,_liver_geese
267 Plantains
268 Rice,_milled
269 Sugar_refined
270 Tea
271 Wheat
272 Sugar_confectionery
273 Tobacco_products_nes
274 Yoghurt,_concentrated_or_not
275 Tallow
276 Tangerines,_mandarins,_clementines,_satsumas
277 Wafers
278 Sheep
279 Wine
280 Spices,_nes
281 Sugar,_nes
282 Tea,_mate_extracts
283 Turkeys
284 Vegetables,_dehydrated
285 Vegetables,_homogenized_preparations
286 Vegetables,_preserved_nes
287 Waters,ice_etc
288 Rice,_husked
289 Vermouths_&_similar
290 Watermelons
291 Rye
292 Sunflower_seed
293 Sweet_corn_frozen
294 Tomatoes,_paste
295 Vegetables,_frozen
296 Walnuts,_shelled
297 Walnuts,_with_shell
298 Raisins
299 Rice,_broken
300 Rice,_paddy
301 Tomatoes,_peeled
302 Vegetables_in_vinegar
303 Vegetables,_temporarily_preserved
304 Sesame_seed
305 Rubber_natural_dry
306 Strawberries
307 Tomatoes
308 Vanilla
309 Vegetables,_fresh_nes
310 Vegetables,_preserved,_frozen
311 Waxes_vegetable
312 Whey,_dry
313 Sweet_corn_prep_or_preserved
314 Sugar_Raw_Centrifugal
315 Rubber,_natural
316 Skins,_sheep,_with_wool
317 Soya_sauce
318 Spinach
319 Vegetables,_fresh_or_dried_products_nes
320 Sweet_potatoes
321 Straw_husks
322 Soybeans
323 Rapeseed
324 Sorghum
325 Wool,_degreased
326 Wool,_greasy
327 Starch,_cassava
328 Tobacco,_unmanufactured
329 Silk_raw
330 Roots_and_tubers,_nes
331 Triticale
332 Whey,_condensed
333 Wool,_hair_waste
334 Sugar_beet
335 Skins,_goat,_wet_salted
336 Skins,_sheep,_dry_salted
337 Rabbits_and_hares
338 Silk-worm_cocoons,_reelable
339 Skins,_calve,_wet_salted
