"";"Layer";"Node";"p=0.17";"p=0.33";"p=0.5";"p=0.67";"p=0.83"
"36";1;36;0,391328068615533;0,501592355319481;0,859184956339444;1;0,359099876093386
"37";1;37;0,343195439348619;0,447728330597756;0,792077986706603;1;0,408160962004533
"38";1;38;0,394670683739552;0,505332407202738;0,863843456081312;1;0,355692786158847
"39";1;39;0,346776601675431;0,451736547102697;0,797072816366037;1;0,404510727637253
"40";2;1;0,321317630381572;0,423246651025917;0,761585077113686;1;0,430741459030632
"41";2;2;0,342252373638014;0,446681251447991;0,790791477015624;1;0,409498286835129
"42";2;3;0,384399860027562;0,493847472179553;0,849552811292569;1;0,366526454975875
"43";2;4;0,334853105074871;0,438399636690416;0,780471645165705;1;0,417042819641881
"44";2;5;0,365696118757643;0,472917652711235;0,823479940898852;1;0,38558108096263
"45";2;6;0,332503108586569;0,43576908919502;0,777193113878563;1;0,419439008606346
"46";2;7;0,368135029155898;0,475647455571027;0,826881090457334;1;0,383125273566668
"47";2;8;0,358363477805591;0,464711566845338;0,813256351584726;1;0,393036608653476
"48";2;9;0,326044075966542;0,428540225732296;0,768184914086085;1;0,426073193240291
"49";2;10;0,322432292571971;0,424496335612333;0,763144146540795;1;0,429707860436497
"50";2;11;0,406058245820991;0,518079816164075;0,879734561524548;1;0,34437822265958
"51";2;12;0,326292318868094;0,428816075287433;0,76852713221283;1;0,425711611333083
"52";2;13;0,327905082889308;0,430621373146699;0,770777128325062;1;0,424067055326669
"53";2;14;0,338650866501667;0,442650203523003;0,785768212821752;1;0,413170468905838
"54";2;15;0,345303039807712;0,450095619636855;0,795046015653675;1;0,406387816909239
"55";2;16;0,338864113836373;0,442887022544098;0,786061966576456;1;0,412849163879083
"56";2;17;0,350489284848281;0,455900564343104;0,802279414480508;1;0,401134734085603
"57";2;18;0,334853063461881;0,438399599702971;0,780471616015282;1;0,417042819723455
"58";2;19;0,334480716050212;0,437980813726966;0,7799479552749;1;0,41732575600105
"59";2;20;0,330162057647005;0,43315128692471;0,773933064658005;1;0,421946817449029
"60";2;21;0,340771050329015;0,445024877294073;0,788728762052819;1;0,411089603356629
"61";2;22;0,340024953553297;0,444192913479801;0,787694527543691;1;0,412012096005061
"62";2;23;0,332487826752953;0,435750791446468;0,777169701556809;1;0,419374059352571
"63";2;24;0,365936117646061;0,47318712846368;0,823816325845376;1;0,385385858662491
"64";2;25;0,33083559545555;0,433900607704517;0,774863262801473;1;0,42101851322339
"65";2;26;0,316092161271907;0,417404184993789;0,754309199447414;1;0,436412417580723
"66";2;27;0,316092161271907;0,417404184993788;0,754309199447414;1;0,436412417580723
"67";2;28;0,352621820540223;0,458288453789415;0,805255548398064;1;0,399030217917356
"68";2;29;0,368892128063841;0,476496920566026;0,827941049969068;1;0,382473489192484
"69";2;30;0,339840128981093;0,443983374102198;0,787431260710957;1;0,412061879103704
"70";2;31;0,340744822990861;0,444995552925268;0,788692274952987;1;0,411116417562453
"71";2;32;0,345444195718075;0,450254030312945;0,795243655363919;1;0,406270994523036
"72";2;33;0,381899343142155;0,491049627907627;0,846067918738675;1;0,369075736437352
"73";2;34;0,374042176234357;0,482257729377283;0,835115863787381;1;0,37710532627852
"74";2;35;0,329352197809281;0,432243932635744;0,772801512816125;1;0,422732281210366
"75";2;36;0,348234212057673;0,453378451050993;0,799138273904272;1;0,403521005258437
"76";2;37;0,363001318257466;0,469904589043383;0,819728236103767;1;0,388465557220356
"77";2;38;0,318085842252377;0,419635980476968;0,757090935152686;1;0,434379731686414
"78";2;39;0,332503108586579;0,435769089195018;0,777193113878578;1;0,419439008606369
